ƒ,CREATOR & POST INFORMATION,,,,,,,,,CAMPAIGN DETAILS,,,,,TESTING INFO,,,,,,,,,PAID USAGE PERFORMANCE,,,,,,PAID DETAILS,,RENEWALS,,,,CONTRACT,
Creator's name,Instagram,Handle,Cost of content,"Percent of Ad Spend 
(if applicable)",Audience Size,Agency,Archetype,Persona,Sub persona,Primary Product,Secondary Product,Third Product,Routine Type,"Creator Post Date
OR
Date UGC received",Test Window (days),Test Window Ends,Link to Content,Status,Ad Launch Date,Ad Test Duration (days),Ad Test Expiration Date,Ad End Date,Link to Asana Task for Ad,Meta Spend,Content Cost Percentage (Target: <10%),CP1KAR,NB ROAS,NB % NEW VISITS,NB CPA,Ad Name,# OF ADS/ VARIATIONS,Cost to Renew,Renewal Status,Renewal Date,Offer (GWP?),Terms,Contract Link
Blair Walnuts,INSTAGRAM,blairwalnuts,"$1,000",20%,Established (500k-1M),Agentio,Testimonial,BeautyEnthusiast,Entrepreneur,BobbiKit5,,,One Product,10/14/2025,90,,CONTENT,Paused,10/14,30,11/13,10/21,BB027,"$2,079",68.09%,$53.43,0.54,22.34%,$209,Video|BobbiKit5|Partnership|blairwalnuts|BeautyEnthusiast|Entrepreneur|Testimonial|Agentio|BB027|Ad00|BlairWalnuts|25Wk42|BobbiKit5LaunchTest,,,,,,,
Marissa Weber,INSTAGRAM,miss_rissaann,$0,,Micro (10-100k),Superbloom,,,,MB,,,One Product,9/18/2025,90,12/17,CONTENT,Paused,10/16,60,12/15,10/21,RHM229,"$1,009",0.00%,$62.12,0.48,25.33%,$432,Static|MiracleBalm|Partnership|miss_rissaann|Minimalist|Testimonial|Superbloom|RHM229|Ad03|MarissaWeberV2|25Wk42|MBGeneric,,,,,,,
Abbie Crane,INSTAGRAM,houseofabbie,$375,,Micro (10-100k),Superbloom,Testimonial,Minimalist,,MB,,,One Product,9/19/2025,90,12/18,CONTENT,Paused,10/17,30,11/16,11/16,M222,"$4,920",7.62%,$90.78,0.57,19.93%,$195,Video|MiracleBalm|FreeCoolGloss|Partnership|houseofabbie|Minimalist|Testimonial|Superfiliate|M222|Ad00|AbbieCranePartnership|25Wk42|MBGeneric,,,,,,,
Amanda Patel,INSTAGRAM,pardonmuahinsta,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,NewMom,WTF,MB,,Multi Product,9/14/2025,90,12/13,CONTENT,Active,10/17,30,2/17,,RHM232,,,,0.67,16.11%,$201,Video|WTF|MiracleBalm|Partnership|pardonmuahinsta|LifeJuggler|NewMom|Testimonial|Superbloom|RHM232|Ad00|AmandaPatelV2|25Wk42|MultiProductMomTrojan,,"$2,700.00",Renewed,1/16,,,
Ashley DeMato-Cooney,INSTAGRAM,ashley_dcooney,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,NewMom,WTF,MB,Mascara,Multi Product,9/18/2025,90,12/17,CONTENT,Paused,10/17,30,11/16,11/13,RHM230,"$9,742",20.53%,$56.96,0.67,63.22%,$212,Video|WTF|MiracleBalm|Mascara|Partnership|ashley_dcooney|LifeJuggler|NewMom|Testimonial|Superbloom|RHM230|Ad00|AshleyDeMatoV2|25Wk42|MultiProductMomTrojan,,,,,,,
Jess Cathell,INSTAGRAM,j.cathell,"$1,500",,Mid-tier (100-500k),Superbloom,Testimonial,BeautyEnthusiast,,MB,WTF,,Multi Product,9/11/2025,90,12/10,CONTENT,Paused,10/17,30,11/16,2/9,M217,"$7,440",20.16%,$84.03,0.80,48.32%,$166,Video|MiracleBalm|WTF|New|j.cathell|BeautyEnthusiast|Testimonial|Superbloom|M217|Ad00|JessCathellPartnership|25Wk42|MBWTFTrojan,,,,,,,
Mikala MacFadzen,INSTAGRAM,mikalamacfadzen,$300,,Micro (10-100k),Internal,Testimonial,LifeJuggler,NewMom,MB,FP,JETM,Multi Product,,,,CONTENT,Paused,10/17,,,10/26,J102,"$2,391",12.55%,$76.88,0.47,15.31%,$337,Video|MiracleBalm|FacePencil|JETM|Partnership|mikalamacfadzen|LifeJuggler|NewMom|Testimonial|Internal|J102|Ad00|MicaelaMcFazden|25Wk42|MultiProductMomTrojan,,,,,,,
Shalia Ashcraft + Sandi Johnson,INSTAGRAM,thespoiledhome,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,SkincareEnthusiast,,MB,,,One Product,9/18/2025,90,12/17,CONTENT,Paused,10/17,30,11/16,10/24,RHM228,"$2,059",97.15%,$76.97,0.39,32.03%,$259,Video|MiracleBalm|Partnership|thespoiledhome|SkincareEnthusiast|Testimonial|Superbloom|RHM228|Ad04|SpoiledHomeV2|25Wk42|MBGeneric,,,,,,,
Abbie Crane,INSTAGRAM,houseofabbie,$375,,Micro (10-100k),Superbloom,,,,MB,,,One Product,9/27/2025,90,1/4,CONTENT,Paused,10/23,30,11/22,10/27,M223,$993,37.77%,$60.80,0.37,24.21%,$340,Video|MiracleBalm|FreeCoolGloss|New|houseofabbie|Testimonial|Superbloom|M223|Ad00|AbbieCranePartnership2|25Wk43|MBGeneric,,,,,,,
Samantha Ravndahl,INSTAGRAM,ssssamanthaa,"$1,000",20%,Powerhouse (1M+),Agentio,Testimonial,BeautyEnthusiast,RepeatMom,JETM,FP,Mascara,Multi Product,10/6/2025,90,1/4,CONTENT,Paused,10/23,,,10/29,J109,"$1,506",86.40%,$38.27,0.44,58.44%,$289,Video|JETM|FacePencil|Mascara|Partnership|ssssamanthaa|LifeJuggler|RepeatMom|Testimonial|Agentio|J109|Ad00|SamanthaRV2|25Wk43|MultiProductMomTrojan,,,,,,,
Taylor Walker,INSTAGRAM,taylorwalkerfit,"$5,500",,Micro (10-100k),Internal,ProblemSolution,HealthEnthusiast,NewMom,ClassicLip,WTF,MB,Multi Product,9/30/2025,,,CONTENT,Paused,10/23,14/30,#VALUE!,10/28,L022,"$1,241",443.35%,$64.90,0.22,20.15%,$488,Video|ClassicLip|WTF|MiracleBalm|Partnership|taylorwalkerfit|BeautyEnthusiast|Testimonial|Internal|L022|Ad00|TaylorWalker|25Wk43|WTFMultiProductBusyWomenTrojan,,,,,,,
Tiffani Beaston,INSTAGRAM,t.beaston,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,LifeJuggler,RepeatMom,JETM,FP,,Multi Product,9/30/2025,90,12/29,CONTENT,Paused,10/23,,,10/27,J110,$999,120.14%,$53.03,0.23,24.82%,$541,Video|JETM|FacePencil|Partnership|t.beaston|LifeJuggler|WellnessMom|Testimonial|Agentio|J110|Ad00|TiffaniBeaston|25Wk43|MultiProductMomTrojan,,,,,,,
Vanessa Fitzgerald,INSTAGRAM,veeshoney,$500,,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,RepeatMom,MB,WTF,,Multi Product,10/12/2025,90,,CONTENT,Paused,10/23,30,11/22,11/5,M229,"$2,874",17.40%,$70.81,0.61,45.82%,$245,Video|MiracleBalm|WTF|Mascara|Partnership|veeshoney|LifeJuggler|RepeatMom|Testimonial|Superbloom|M229|Ad00|VanessaFitzgerald|25Wk43|MultiProductMomTrojan,,,,,,All Access,
Gabby Lawson,INSTAGRAM,heygabbylawson,$900,,Micro (10-100k),Superfiliate,,,,WTF,,,One Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Gabrielle Mika,INSTAGRAM,hotmommajourney,"$4,500",,Mid-tier (100-500k),Aspire,DesirableSituation,LifeJuggler,RepeatMom,MB,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Grace Mihalich,INSTAGRAM,gracemihalich,$850,,Micro (10-100k),Internal,,,,Holiday Kit - MB,,,One Product,N/A,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Alana Hosn,INSTAGRAM,alanahosn,$0,,Micro (10-100k),Superbloom,WindowShopping,Minimalist,,MB,,,One Product,9/16/2025,90,12/15,CONTENT,Paused,10/30,30,11/29,11/7,M235,$421,0.00%,$51.17,0.09,13.33%,"$3,574",Video|MiracleBalm|Partnership|alanahosn|Minimalist|WindowShopping|Superbloom|M235|Ad00|AlanaHosnV3|25Wk44|AlanaMultiLP,,,,,,,
Hallie Ragan,INSTAGRAM,thehalliescene,"$2,400",,Mid-tier (100-500k),Superfiliate,,,,MB,JETM,,Multi Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Helen Leland,INSTAGRAM,helenleland,"$5,500",,Established (500k-1M),Superbloom,,,,BobbiKit5,,,One Product,10/16/2025,90,,CONTENT,,,30,,,,,,,,,,,,,,,,All Access,
Amy Zhang,INSTAGRAM,theluxilook,"$3,000",,Micro (10-100k),Aspire,Testimonial,LifeJuggler,NewMom,JETM,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/2,J114,$420,713.79%,$46.00,0.10,24.26%,$796,Video|JETM|Partnership|theluxilook|LifeJuggler|NewMom|Testimonial|Aspire|J114|Ad00|AmyZhang|25Wk44|JETMMomsListicle,,,,,,,
Crimson Mitchell,INSTAGRAM,crimsonmitchell,"$1,500",,Micro (10-100k),Aspire,Testimonial,LifeJuggler,NewMom,MB,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/2,M232,$419,358.27%,$48.52,0.68,24.44%,$160,Video|MiracleBalm|Partnership|crimsonmitchell|LifeJuggler|NewMom|Testimonial|Aspire|M232|Ad00|CrimsonMitchell|25Wk44|MultiProductMomTrojan,,,,,,,
Ellen Kim/Hong,INSTAGRAM,ellenorkim,"$3,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,ProfessionalMom,BobbiKit5,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/6,BB032,$413,726.67%,$51.13,0.52,41.60%,$218,Video|BobbiKit5|New|ellenorkim|LifeJuggler|ProfessionalMom|Testimonial|Superbloom|BB032|Ad00|EllenKimHong|25Wk44|BobbiKit5LaunchTest,,,,,,All Access,
Izzy Teo,INSTAGRAM,pinkerbel,$100,,Nano (1-10k),Aspire,Testimonial,HealthEnthusiast,NewMom,JETM,MB,,Multi Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/2,M230,$419,23.88%,$46.18,0.20,15.64%,$639,Video|MiracleBalm|JETM|Partnership|pinkerbel|LifeJuggler|NewMom|Testimonial|Aspire|M230|Ad00|IzzyTeo|25Wk44|MultiProductMomTrojan,,,,,,,
Kristen Squires,INSTAGRAM,kristen_squires,$200,,Nano (1-10k),Aspire,Testimonial,LifeJuggler,NewMom,JETM,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/2,J113,$422,47.41%,$47.38,0.05,27.14%,"$2,109",Video|JETM|Partnership|kristen_squires|LifeJuggler|NewMom|Testimonial|Aspire|J113|Ad00|KristenSquires2|25Wk44|JETMMomsListicle,,,,,,,
Kristen Squires,INSTAGRAM,kristen_squires,$200,,Nano (1-10k),Aspire,Testimonial,LifeJuggler,RepeatMom,MB,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/5,M233,$418,47.80%,$49.12,0.34,21.57%,$659,Video|MiracleBalm|Partnership|kristen_squires|LifeJuggler|RepeatMom|Testimonial|Aspire|M233|Ad00|KristenSquires|25Wk44|MultiProductMomTrojan,,,,,,,
Laura Urquhart,INSTAGRAM,lauraurquhartt,$625,,Micro (10-100k),Aspire,Testimonial,LifeJuggler,ProfessionalMom,JETM,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/2,J112,$421,148.62%,$39.28,0.00,32.12%,$0,Video|JETM|Partnership|lauraurquhartt|LifeJuggler|ProfessionalMom|Testimonial|Aspire|J112|Ad00|LauraUrquhart2|25Wk44|JETMMomsListicle,,,,,,,
Laura Urquhart,INSTAGRAM,lauraurquhartt,$625,,Micro (10-100k),Aspire,Testimonial,LifeJuggler,ProfessionalMom,MB,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/5,M231,$419,149.05%,$49.72,0.70,24.00%,$195,Video|MiracleBalm|Partnership|lauraurquhartt|LifeJuggler|ProfessionalMom|Testimonial|Aspire|M231|Ad00|LauraUrquhart|25Wk44|MultiProductMomTrojan,,,,,,,
Izzy Teo,INSTAGRAM,pinkerbel,$100,,Nano (1-10k),Aspire,Testimonial,HealthEnthusiast,NewMom,MB,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Jackie Schimmel,INSTAGRAM,jackieschimmel,"$3,500",,Mid-tier (100-500k),Superbloom,DesirableSituation,LifeJuggler,NewMom,Holiday Kit - MB,,,One Product,11/25/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Michelle Bruni,INSTAGRAM,bilingualcoco,"$2,500",,Micro (10-100k),Aspire,Testimonial,LifeJuggler,RepeatMom,MB,,,One Product,10/10/2025,90,1/8,CONTENT,Paused,10/30,30,11/29,11/2,M234,$420,594.97%,$44.29,0.03,17.31%,"$6,303",Video|MiracleBalm|Partnership|bilingualcoco|LifeJuggler|RepeatMom|Testimonial|Aspire|M234|Ad00|Michelle|24Wk44|MultiProductMomTrojan,,,,,,,
Monica Grayce,INSTAGRAM,monicagrayce,$400,,Mid-tier (100-500k),Internal,Testimonial,BeautyEnthusiast,,BobbiKit5,,,One Product,N/A,,,CONTENT,Paused,10/30,14,11/13,11/6,BB031,$420,95.15%,$40.56,0.65,15.31%,$153,Video|BobbiKit5|Partnership|monicagrayce|BeautyEnthusiast|Testimonial|Internal|BB031|Ad00|MonicaGrayce|25Wk44|BobbiKit5LaunchTest,,,,,,,
Paige Rangel,INSTAGRAM,thelovedesignedlife,$600,4%,Micro (10-100k),Superfiliate,Testimonial,LifeJuggler,RepeatMom,MB,Gel Bronzer,Mascara,Multi Product,N/A,,,CONTENT,Paused,10/30,14,11/13,11/2,M236,$419,147.14%,$44.97,0.13,17.09%,"$1,685",Video|MiracleBalm|GelBronzer|Mascara|Partnership|thelovedesignedlife|LifeJuggler|RepeatMom|Testimonial|Superfiliate|M236|Ad00|PaigeRangel|25Wk44|MultiProductMomTrojan,,,,,,,
Jas Hamilton,INSTAGRAM,jashamilton_,"$1,000",,Micro (10-100k),Superbloom,,,,Holiday Kit - Party,WTF,,Multi Product,12/9/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Paige Rangel,INSTAGRAM,thelovedesignedlife,$600,4%,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,RepeatMom,JETM,FP,MB,Multi Product,N/A,,,CONTENT,Paused,10/30,14,11/13,11/2,J115,$418,147.52%,$45.67,0.01,27.67%,"$10,869",Video|JETM|FacePencil|MiracleBalm|Partnership|thelovedesignedlife|LifeJuggler|RepeatMom|Testimonial|Superfiliate|J115|Ad00|PaigeRangelCar|25Wk44|MultiProductMomTrojan,,,,,,,Paige Rangel Contract x JRB 
Jasky Guillermo,INSTAGRAM,jaskyguillermo,,,Nano (1-10k),Aspire,Testimonial,BeautyNovice,NewMom,JETM,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Rebecca Wattenschaidt,INSTAGRAM,mommyinheels,"$1,129",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,RepeatMom,MB,WTF,Mascara,Multi Product,9/18/2025,90,12/17,CONTENT,Paused,10/30,30,11/29,11/2,RHM231,$417,270.70%,$43.69,0.07,34.57%,"$5,005",Video|MiracleBalm|WTF|Mascara|Partnership|mommyinheels|LifeJuggler|RepeatMom|Testimonial|Superbloom|RHM231|Ad00|RebeccaWattenschaidtV2|25Wk44|MultiProductMomTrojan,,,,,,,
Anna Daly,INSTAGRAM,annabdaly,"$2,250",,Established (500k-1M),Superbloom,,,,BobbiKit5,WTF,,Multi Product,10/6/2025,90,1/4,CONTENT,Paused,11/4,30,12/4,11/6,BB038,,,,,,,Video|BobbiKit5|WTF|Partnership|annabdaly|SkinSolutionist|Testimonial|Superbloom|BB038|Ad00|AnnaDaly|25Wk45|BobbiKit5LaunchTest,,,,,,,
Ashley Horas,INSTAGRAM,healthysahm,$400,,Nano (1-10k),Internal,,,,BobbiKit5,,,One Product,9/29/2025,,,CONTENT,Paused,11/4,30,12/4,,BB033,,,,,,,Video|BobbiKit5|New|healthysahm|LifeJuggler|WellnessMom|Testimonial|Internal|BB033|Ad00|AshleyHoras|25Wk45|BobbiKit5LaunchTest,,,,,,,
Danielle Hutchinson ,INSTAGRAM,daniellenhutchinson,$417,,Micro (10-100k),Aspire,Testimonial,LifeJuggler,NewMom,MB,,,One Product,10/10/2025,90,,CONTENT,Paused,11/4,30,12/4,11/13,M240,,,,,,,Video|MiracleBalm|Partnership|daniellenhutchinson|LifeJuggler|NewMom|Testimonial|Aspire|M240|Ad00|DanielleHutchinson|25Wk45|MultiProductMomTrojan,,,,,,,
Jasky Guillermo,INSTAGRAM,jaskyguillermo,$433,,Micro (10-100k),Aspire,Testimonial,BeautyNovice,NewMom,MB,,,One Product,10/10/2025,90,,CONTENT,Paused,11/4,30,12/4,11/8,M239,,,,,,,Video|MiracleBalm|Partnership|jaskyguillermo|LifeJuggler|RepeatMom|Testimonial|Aspire|M239|Ad00|JaskyGuillermo|25Wk45|MultiProductMomTrojan,,,,,,,
Jess Clarke,INSTAGRAM,jessclarke_,$0,,Mid-tier (100-500k),Superbloom,,,,Holiday Kit - Lip,,,One Product,11/23,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Lauren Garcia,INSTAGRAM,whatlolalikes,"$1,750",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,CareerWoman,WTF,MB,,Multi Product,9/17/2025,90,,CONTENT,Paused,11/4,30,12/4,11/8,RHM260,,,,,,,Video|MiracleBalm|WTF|Partnership|whatlolalikes|LifeJuggler|CareerWoman|Testimonial|Superbloom|RHM260|Ad00|LaurenGarcia|25Wk45|MBMultiProductProfessionalWomen,,,,,,,
Lynn Shabinsky,INSTAGRAM,whitehairwisdom,"$4,500",,Powerhouse (1M+),Superbloom,ProblemSolution,,,BobbiKit5,,,One Product,10/24/2025,90,,CONTENT,Paused,11/4,30,12/4,11/6,BB040,,,,,,,Video|BobbiKit5|New|whitehairwisdom|BeautyEnthusiast|Testimonial|Superbloom|BB040|Ad00|LynnShabinsky|25Wk45|BobbiKit5LaunchTest,,,,,,,
Mariah Clayton,INSTAGRAM,mariahclayton_,$900,,Micro (10-100k),Internal,,,,BobbiKit5,,,One Product,N/A,,,CONTENT,Paused,11/4,30,12/4,11/6,BB037,,,,,,,Video|BobbiKit5|Partnership|mariahclayton_|LifeJuggler|ProfessionalMom|Testimonial|Internal|BB037|Ad00|MariahClayton|25Wk45|BobbiKit5LaunchTest,,,,,,,
Maxey Greene ,INSTAGRAM,maxeygreene,$400,,Micro (10-100k),Superbloom,Testimonial,FashionEnthusiast,NewMom,WTF,MB,Mascara,Multi Product,10/14/2025,90,,CONTENT,Paused,11/4,30,12/4,11/8,RHM261,,,,,,,Video|WTF|MiracleBalm|Mascara|Partnership|maxeygreene|Minimalist|Testimonial|Superbloom|RHM261|Ad00|MaxeyGreene|25Wk45|WTFMultiProductBusyWomenTrojan,,,,,,,
Juli Roth,INSTAGRAM,paleomg,"$2,000",,Mid-tier (100-500k),Superbloom,,,,Holiday Kit - MB,,,One Product,11/21/2025,90,,,,,30,,,,,,,,,,,,,,,,,
Juli Roth,INSTAGRAM,paleomg,$0,,Mid-tier (100-500k),Superbloom,,,,Holiday Kit - MB,,,One Product,11/23/2025,90,,CONTENT,,,60,,,ASANA,,,,,,,,,,,,,,
Samantha Ravndahl,INSTAGRAM,ssssamanthaa,"$1,000",20%,Powerhouse (1M+),Agentio,Testimonial,BeautyEnthusiast,,MB,,,One Product,10/6/2025,90,1/4,CONTENT,Paused,11/4,30,12/4,11/8,M238,,,,,,,Video|MiracleBalm|Partnership|ssssamanthaa|BeautyNovice|Testimonial|Agentio|M238|Ad00|SamanthaRavndahl|25Wk45|MBGeneric,,,,,,,
Sara Edmondson,INSTAGRAM,saramedmondson,$500,,Micro (10-100k),Superfiliate,Testimonial,LifeJuggler,RemoteWorker,JETM,FP,,Multi Product,N/A,,,CONTENT,Paused,11/4,14,11/18,11/8,RHM263,,,,,,,Video|JETM|FacePencil|MiracleBalmPalette|Partnership|saramedmondson|LifeJuggler|RemoteWorker|Testimonial|Superfiliate|RHM263|Ad00|SaraEdmonson|25Wk45|JETMMultiProductProfessionalWomen,,,,,,,Sara Edmondson Contract x JRB
Kady Mertes,INSTAGRAM,kady_day,"$1,000",,Micro (10-100k),Internal,,,,BobbiKit5,,,One Product,9/29/2025,,,CONTENT,Not Launched,,30,,,,,,,,,,,,,,,,,
Kaitlyn Nilles,INSTAGRAM,honestly.kaitlyn,"$4,000",,Mid-tier (100-500k),Aspire,DesirableSituation,FashionEnthusiast,NewMom,MB,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Katelyn Nassar,INSTAGRAM,katelyn.nassar,"$3,000",,Micro (10-100k),Superbloom,ProblemSolution,FashionEnthusiast,NewMom,Holiday Kit - Party,,,One Product,11/14/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Sara Edmondson,INSTAGRAM,saramedmondson,$500,,Micro (10-100k),Superfiliate,Testimonial,LifeJuggler,RepeatMom,FP,MB,,Multi Product,N/A,,,CONTENT,Paused,11/4,14,11/18,11/8,RHM267,,,,,,,Video|FacePencil|MiracleBalmPalette|Partnership|saramedmondson|LifeJuggler|RepeatMom|Testimonial|Superfiliate|RHM267|Ad00|SaraEdmonson2|25Wk45|MultiProductMomTrojan,,,,,,,Sara Edmondson Contract x JRB
Katie Novack,INSTAGRAM,thegetupmama,"$1,200",,Micro (10-100k),Superfiliate,,,,MB,,,One Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Shenae Grimes,INSTAGRAM,shenaegrimesbeech,"$2,500",N/A,Established (500k-1M),Superbloom,,LifeJuggler,ProfessionalMom,WTF,MB,Cool Gloss,Multi Product,10/1/2025,90,,CONTENT,Paused,11/4,30,12/4,12/3,RHM264,,,,,,,Video|MiracleBalm|WTF|CoolGloss|Partnership|shenaegrimesbeech|LifeJuggler|ProfessionalMom|Testimonial|Superbloom|RHM264|Ad00|ShenaeGrimesV4|25Wk45|MultiProductMomTrojan,,,,,,All Access,
Tara Jarret,INSTAGRAM,hernaturalway,$300,,Micro (10-100k),Internal,,,,JETM,MB,,Multi Product,N/A,,,CONTENT,Paused,11/4,30,12/4,11/8,RHM265,,,,,,,Video|JETM|MiracleBalm|FacePencil|Partnership|hernaturalway|LifeJuggler|NewMom|Testimonial|Internal|RHM265|Ad00|TaraJarrett|25Wk45|MultiProductMomTrojan,,,,,,,
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,ProfessionalMom,Holiday Kit - MB,,,One Product,,,,,Paused,11/6,,,1/3,HC037,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|emilydidonato|LifeJuggler|ProfessionalMom|Testimonial|Internal|HC037|Ad00|EmilyDiDonato|25Wk45|EmilyHolidayGifts,,,,,,,
Ereka Vetrini,INSTAGRAM,erekav,"$8,500",,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,ProfessionalMom,Holiday Kit - Party,,,One Product,,,,CONTENT,Paused,11/6,15,11/21,3/5,HC051,,,,,,,,,,,,,,
Iliza Shlesinger,INSTAGRAM,ilizas,"$5,000",,Powerhouse (1M+),Internal,ProblemSolution,LifeJuggler,RepeatMom,Holiday Kit - Party,,,One Product,11/6/2026,,,CONTENT,Paused,11/6,30,12/6,12/5,HC053,,,,,,,Video|HolidayCollection|PartyKit|Partnership|ilizas|LifeJuggler|RepeatMom|ProblemSolution|Internal|HC053|Ad00|IlizaShlesingerParty|25Wk45|PartyKitTest,,,,,,,
Lauren Roscopf,INSTAGRAM,aloprofile,"$3,000",,Mid-tier (100-500k),Superbloom,DesirableSituation,BeautyEnthusiast,RepeatMom,Holiday Kit - Party,,,One Product,10/27/2025,90,,CONTENT,Paused,11/6,30,12/6,2/9,HC034,,,,,,,Static|HolidayCollection|PartyKit|Partnership|aloprofile|LifeJuggler|NewMom|Testimonial|Superbloom|HC034|Ad00|LaurenRoscopfStatics|25Wk45|PartyKitTest,,,,,,,
Lauren Roscopf,INSTAGRAM,aloprofile,"$3,000",,Mid-tier (100-500k),Superbloom,DesirableSituation,BeautyEnthusiast,RepeatMom,Holiday Kit - Party,,,One Product,10/27/2025,90,,CONTENT,Paused,11/6,30,12/6,2/9,HC032,,,,,,,Video|HolidayCollection|PartyKit|Partnership|aloprofile|LifeJuggler|ProfessionalMom|Testimonial|Superbloom|HC032|Ad00|LaurenRoscopf|25Wk45|PartyKitTest,,,,,,,
Lindsey Stackhouse,INSTAGRAM,lindseystackhouse_,"$2,500",,Mid-tier (100-500k),Internal,Testimonial,LifeJuggler,NewMom,Holiday Kit - Fragrance,,,One Product,N/A,,,CONTENT,Paused,11/6,14,11/20,11/20,HC031,,,,,,,Video|HolidayCollection|MiniFragranceTrio|Partnership|lindseystackhouse_|LifeJuggler|NewMom|Testimonial|Internal|HC031|Ad00|LindseyStackhouse|25Wk45|FragranceTrioTest,,,,,,,
Miranda Mckeon,INSTAGRAM,miranda.mckeon,"$6,500",,Established (500k-1M),Internal,DesirableSituation,TrendSeekers,Entrepreneur,Holiday Kit - Party,,,One Product,10/27/2025,,,CONTENT,Paused,11/6,30,12/6,12/5,HC028,,,,,,,Video|HolidayCollection|PartyKit|Partnership|miranda.mckeon|Minimalist|Testimonial|Internal|HC028|Ad00|mirandamckeon|25Wk45|PartyKitTest,,,,,,,
Taylor Walker,INSTAGRAM,taylorwalkerfit,"$3,000",,Mid-tier (100-500k),Internal,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - Lip,,,One Product,N/A,,,CONTENT,Paused,11/6,30,12/6,12/5,HC025,,,,,,,Video|HolidayCollection|MiniLipKit|Partnership|taylorwalkerfit|LifeJuggler|RepeatMom|Testimonial|Internal|HC025|Ad00|TaylorWalker|25Wk45|MiniLipKitTest,,,,,,,
Tonya Michelle Morris,INSTAGRAM,tonyamichelle26,"$3,000",N/A,Established (500k-1M),Internal,DesirableSituation,LifeJuggler,RepeatMom,Holiday Kit - MB,,,One Product,11/6/2025,,,CONTENT,Paused,11/6,,,1/3,HC056,,,,,,,Video|HolidayCollection|MiniMiracleBalmTrio|Partnership|tonyamichelle26|LifeJuggler|RepeatMom|DesirableSituation|Internal|HC056|Ad00|TonyaMMB|25Wk45|MMBTrioTest,,,,,,,
Audrey Martinez,INSTAGRAM,audreymadstowe,"$2,500",,Mid-tier (100-500k),Superbloom,DesirableSituation,LifeJuggler,NewMom,Holiday Kit - Pinky,,,One Product,10/31/2025,90,,CONTENT,Paused,11/11,30,12/11,12/1,HC045,,,,,,,Video|HolidayCollection|PinkyBronzeKit|Partnership|audreymadstowe|LifeJuggler|RepeatMom|Testimonial|Superbloom|HC045|Ad00|AudreyMartinez|25Wk46|PinkyBronzeKitTest,,,,,,,
Lauren McBride,INSTAGRAM,iamlaurenmcbride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Mihalich,INSTAGRAM,gracemihalich,$850,,Micro (10-100k),Internal,Testimonial,LifeJuggler,RepeatMom,Holiday Kit - Fragrance,,,One Product,N/A,,,CONTENT,Paused,11/11,30,12/11,12/11,HC035,,,,,,,Video|HolidayCollection|MiniFragranceTrio|New|gracemihalich|LifeJuggler|RepeatMom|Testimonial|Internal|HC035|Ad00|GraceMihalich|25Wk46|FragranceTrioTest,,,,,,,
